id,category,name,price,description,image,alt
1,おすすめ,たっぷり野菜のモッツァレラトマトクリームスープ,1130,"トマトソースにクリームソースを合わせた、まろやかな酸味のスープにたっぷり野菜をのせて。
クリーミーなモッツァレラが溶け込んだコク旨スープパスタです。
※大盛りはございません。",https://jpis-jp-coupon-otherfile-prod.smart2j.jp/menus/hp_menu_c1_007_210107.png,たっぷり野菜のモッツァレラトマトクリームスープ
2,おすすめ,たっぷり海の幸のブイヤベース,1290,"ジョリーパスタ、冬の定番。ずわい蟹や魚介をたっぷりつかったブイヤベース仕立てのスープパスタです。
まずは、おいしさがギュッとつまったスープをどうぞ。
※お好みでレモンと胡椒をどうぞ！
※大盛りはございません。",https://jpis-jp-coupon-otherfile-prod.smart2j.jp/menus/hp_menu_c1_001_201126.png,たっぷり海の幸のブイヤベース
3,おすすめ,ふわふわチーズと牡蠣のクリームスープ,1230,"広島県産かきのクリームスープパスタに、
グラナパダーノチーズをかけてお召し上がりください。
チーズのコクが、野菜の甘みとかきの旨みをひきたてます。
※ふわふわチーズは別添えです。
※大盛りはございません。",https://jpis-jp-coupon-otherfile-prod.smart2j.jp/menus/hp_menu_c1_002_201126.png,ふわふわチーズと牡蠣のクリームスープ
4,おすすめ,港町ジェノバのアーリオオーリオ,1090,"アーリオオーリオを、ジョリーパスタ流にアレンジ。
うに、蟹、エビ、あさり、イカを贅沢につかって、イタリア港町の活気を感じさせるひと皿に仕上げました。
さわやかなジェノベーゼソースがぴったりです。",https://jpis-jp-coupon-otherfile-prod.smart2j.jp/menus/hp_menu_c1_008_210107.png,港町ジェノバのアーリオオーリオ
5,おすすめ,海老あふれるビスククリーム,1290,"3種類のエビに加え、パスタが隠れるほど海の幸がたっぷり。
エビの旨みがぎっしりつまったソースは、濃厚でクリーミー。
エビ好きには、たまらない一品です。",https://jpis-jp-coupon-otherfile-prod.smart2j.jp/menus/hp_menu_c1_004_201126.png,海老あふれるビスククリーム
6,おすすめ,スパリゾ,+180,"旨みたっぷりのスープを
リゾットにかけて最後のひとくちまで
スープパスタをおいしく楽しめるスパリゾ。
※お料理とご一緒にご注文ください。",https://jpis-jp-coupon-otherfile-prod.smart2j.jp/menus/hp_menu_c1_006_201126_i.png,スパリゾ
7,トマト,濃厚エビソースのペスカトーレ,1090,細かく刻んだエビをくわえた濃厚なトマトソースでつくった贅沢なペスカトーレです。,https://jpis-jp-coupon-otherfile-prod.smart2j.jp/menus/hp_menu_c4_001_200917.png,濃厚エビソースのペスカトーレ
8,トマト,サルシッチャと揚げナスのトマトソース,790,,https://jpis-jp-coupon-otherfile-prod.smart2j.jp/menus/hp_menu_c4_002_200917.png,サルシッチャと揚げナスのトマトソース
9,トマト,ポモドーロイタリアーノ,630,"パスタソースの代表とも言えるトマトソース。
シンプルだからトマトのおいしさがわかります。",https://jpis-jp-coupon-otherfile-prod.smart2j.jp/menus/hp_menu_c4_003_200917.png,ポモドーロイタリアーノ
10,トマト,エビとベーコンのガーリックトマトソース,730,,https://jpis-jp-coupon-otherfile-prod.smart2j.jp/menus/hp_menu_c4_004_200917.png,エビとベーコンのガーリックトマトソース
11,スペチアーレ,ペンネ牛タンシチュー,930,"牛タンシチューにクリームソースをくわえてまろやかな味に。
※大盛りはございません。
※一部店舗で、販売を休止しております。何卒ご了承ください。",https://jpis-jp-coupon-otherfile-prod.smart2j.jp/menus/hp_menu_c3_002_200917.png,ペンネ牛タンシチュー
12,スペチアーレ,ペンネクワトロフォルマッジ,830,"モッツァレラチーズ、グラナパダーノ、ゴルゴンゾーラ、フレッシュモッツァレラでつくるチーズたっぷりのペンネ。
※大盛りはございません。",https://jpis-jp-coupon-otherfile-prod.smart2j.jp/menus/hp_menu_c3_001_200917.png,ペンネクワトロフォルマッジ
13,クリーム,カルボナーラ,830,,,
14,クリーム,たらこクリーム,790,,,
15,ミートソース,ごろごろ牛肉の本格ボロネーゼ,890,旨みと噛みごたえが感じられるよう牛肉を粗挽きにし、トマトや赤ワインの濃厚ソースで煮込みました。,,
16,ミートソース,ミートソース,630,,,
17,ペペロンチーノ,サーモンとアボカドのペペロンチーノ,890,,https://jpis-jp-coupon-otherfile-prod.smart2j.jp/menus/hp_menu_c7_001_200917.png,サーモンとアボカドのペペロンチーノ
18,ペペロンチーノ,ベーコンとオニオンのペペロンチーノ,630,,https://jpis-jp-coupon-otherfile-prod.smart2j.jp/menus/hp_menu_c7_005_200917.png,ベーコンとオニオンのペペロンチーノ
